 x,y,z
510,2046,10
1530,2046,10
2550,2046,10
3570,2046,10
2046,510,10
2046,1530,10
2046,2550,10
2046,3570,10
1275,1275,10
2820,1275,10
1275,2820,10
2820,2820,10
510,2046,100
1530,2046,100
2550,2046,100
3570,2046,100
2046,510,100
2046,1530,100
2046,2550,100
2046,3570,100
1275,1275,100
2820,1275,100
1275,2820,100
2820,2820,100
510,2046,190
1530,2046,190
2550,2046,190
3570,2046,190
2046,510,190
2046,1530,190
2046,2550,190
2046,3570,190
1275,1275,190
2820,1275,190
1275,2820,190
2820,2820,190
