ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
3,31971,12,"[65.01882956429264, 223.29276531856996, 20.716430515154357]",0.2130712229724608,0.1250192675710187
4,131190,48,"[77.19785044591814, 147.61646466956324, 256.07340498513605]",0.0768842225321866,-0.0240998592458917
12,14850,6,"[18.224579124579126, 425.0781818181818, 271.80329966329964]",-0.0004768958908558,0.0175576900897181
15,28590,11,"[24.27110877929346, 537.9246939489332, 229.90062959076602]",0.2438269492927296,-0.1891151135909138
16,8420,4,"[14.30498812351544, 862.2567695961995, 274.54608076009504]",0.3515594082828814,0.0337812747794688
20,6116,3,"[10.921026814911707, 1050.04234793983, 215.99738391105296]",0.0791521085242403,0.2771310535249011
27,241512,90,"[58.01204110580803, 1384.6251180691827, 46.00873304885889]",0.2696509706181584,-0.02278814305842887
30,11835,5,"[20.92479932403887, 1344.7433882551754, 145.02729193071397]",0.1855034026352353,-0.1333441757931169
33,117428,44,"[30.615987535559686, 1841.6857672003698, 142.02047137854973]",0.17695275278069733,-0.2832311628437187
34,6898,3,"[6.402145549434619, 1741.2884894172223, 25.501739634676717]",0.3419176727662952,0.1894854709244003
35,5727,3,"[7.243408416273791, 1896.9989523310633, 80.65636458878994]",0.3474953027751541,-0.215259116126223
43,12812,5,"[7.63682485170153, 2699.390571339369, 185.39447393068997]",0.4598981150844218,-0.3159674802459545
44,32680,13,"[12.633833061427675, 2585.7685692953073, 76.40310123823514]",0.477940548141219,0.08755614205945066
50,9869,4,"[14.210963623467423, 2873.604113891985, 7.012665923599148]",0.2938619089846939,-0.1728555527135617
51,3753,2,"[5.881961097788436, 3175.0223820943247, 178.16520117239543]",0.5213670876084388,0.0259637654591893
61,5656,3,"[5.722949080622348, 3485.173974540311, 199.91407355021215]",0.2576151101503541,-0.1099417136497854
68,71988,27,"[24.132494304606322, 2685.9833444462965, 245.4741623603934]",0.3230321647710382,-0.2204552253354386
71,73788,27,"[50.3254458719575, 543.2788529300158, 13.214845232287093]",0.3477335537250485,0.0706002185424342
74,170248,63,"[92.84728161270617, 991.1104330153657, 171.71963253606503]",0.2277831813074425,0.0950933189015634
79,4139,2,"[9.753080454215993, 2405.856003865668, 276.5025368446485]",0.4649699948375458,1e-10
