ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
3,31971,12,"[2423.5834267430664, 293.86708383638086, 20.716430515154357]",0.1116996310979838,0.0786567920853123
4,131190,48,"[2485.7065203607012, 248.96772672596626, 256.07340498513605]",-0.0244873693422903,-0.070462334731598
12,14850,6,"[2247.8110585851764, 403.46238838134525, 271.80329966329964]",-0.1018484877653327,-0.0288047853959882
15,28590,11,"[2172.292066745766, 487.53246446374357, 229.90062959076602]",0.1424553574182526,-0.2354775890766201
16,8420,4,"[1935.9075452014517, 709.8227630124101, 274.54608076009504]",0.2501878164084044,-0.0125812007062375
20,6116,3,"[1800.7302673570462, 840.2143968796422, 215.99738391105296]",-0.0222194833502366,0.2307685780391947
27,241512,90,"[1597.4428972684464, 1110.0985180443326, 46.00873304885889]",0.1682793787436814,-0.0691506185441351
30,11835,5,"[1599.4188987059865, 1055.6732362880043, 145.02729193071397]",0.0841318107607583,-0.1797066512788232
33,117428,44,"[1254.8802775969862, 1413.9172672012478, 142.02047137854973]",0.0755811609062203,-0.329593638329425
34,6898,3,"[1308.7501016631509, 1325.8038994011463, 25.501739634676717]",0.2405460808918182,0.1431229954386939
35,5727,3,"[1199.2410401129796, 1436.502686307122, 80.65636458878994]",0.2461237109006771,-0.2616215916119294
43,12812,5,"[632.1426725742751, 2004.1574287044689, 185.39447393068997]",0.3585265232099448,-0.3623299557316609
44,32680,13,"[716.0189791023654, 1927.3479589578633, 76.40310123823514]",0.376568956266742,0.0411936665737442
50,9869,4,"[513.6037133667664, 2131.993624123932, 7.012665923599148]",0.1924903171102169,-0.219218028199268
51,3753,2,"[294.5793177809587, 2339.239031376884, 178.16520117239543]",0.4199954957339618,-0.020398710026517
61,5656,3,"[75.15658509096738, 2558.4368871156194, 199.91407355021215]",0.1562435182758771,-0.1563041891354917
68,71988,27,"[653.2872133576343, 2006.3412873818315, 245.4741623603934]",0.2216605728965612,-0.266817700821145
71,73788,27,"[2186.9293030602344, 509.7416250243609, 13.214845232287093]",0.2463619618505715,0.0242377430567278
74,170248,63,"[1900.332034353181, 856.4738505329822, 171.71963253606503]",0.1264115894329655,0.048730843415857
79,4139,2,"[841.1993744348515, 1798.0935642184168, 276.5025368446485]",0.3635984029630688,-0.0463624753857063
80,64210,24,"[510.60210159880603, 2183.1599467444853, 144.76879778899084]",0.2494815275879609,-0.0855179867993157
88,3060,2,"[586.5468708224187, 2044.5868753623292, 108.24575163398693]",0.5242502222890276,0.3743338900556512
89,8481,4,"[85.39334577696991, 2548.489550604072, 265.7451951420823]",0.2271799511631951,-0.1761558579758984
90,2773,2,"[623.9070687456222, 2009.6788872700379, 62.78507032095204]",0.4234601741311613,-0.1457156978674962
91,25534,10,"[1563.453884563091, 1094.2235152778967, 124.78045720049876]",-0.1695224513734053,0.2949771565712196
93,25937,11,"[1568.3347500683308, 1095.4332756726462, 180.8832726585984]",-0.0160462575158361,0.1129645330748718
95,13794,6,"[603.2532124004254, 2039.6912154405043, 87.10961287516312]",0.2046866776523127,0.0985005643838377
97,39648,15,"[525.9058986099033, 2149.2634304149506, 124.2759786117837]",0.1643567064896047,-0.0878876363220126
98,71999,28,"[576.1172805799492, 2096.3085826937595, 204.29534609482454]",-0.0752347388395295,-0.0578780825351788
99,4080,2,"[1926.1316671590782, 716.0362954815675, 179.625]",-0.2042143757805782,0.0383306138155603
100,67557,26,"[577.9951794986516, 2102.7431821124046, 42.44210556610054]",-0.088610206374334,-0.0342250659477714
101,20806,8,"[329.9802180641309, 2334.975565451782, 164.21046813419207]",0.17383486987958,-0.0566625697528421
103,130571,48,"[2402.3634395663994, 385.48815597417473, 217.3284963468048]",-0.0644284324313215,0.0040975141096962
104,8620,4,"[318.89176769472806, 2367.2832441118194, 3.4955916473317865]",0.0536484523611708,0.0460419031563191
105,4878,2,"[95.7157513113525, 2553.7299168280915, 276.70541205412053]",0.257506132636485,-0.004055609333446
106,31562,12,"[577.9848854236723, 2101.9062788715382, 264.5930158367254]",0.1195836526446815,-0.0893373421116335
107,93030,35,"[2361.606446929848, 360.12119725068675, 74.6756195236735]",0.2398675535259714,0.0700419864048079
111,91200,34,"[2169.037995201338, 612.5522912116862, 258.0080592105263]",-0.0841818183187194,0.0825184189874802
112,10645,5,"[1583.5042121811905, 1112.4261936578414, 87.64904914726743]",-0.2716740923948114,-0.2256022146546487
114,248419,91,"[1499.5481588407326, 1360.9071688772526, 138.8347227448668]",-0.0287608033523001,0.0680998137151302
116,38734,15,"[232.95229955063678, 2559.2585205955265, 13.918159756286467]",0.0439304438351604,0.1197809269699498
117,94412,35,"[515.8086257507848, 2220.1375558900672, 253.6673092403508]",0.1695744471635857,-0.1542463018496314
119,46758,18,"[1908.6831386434915, 830.7174607646065, 100.78358783523674]",-0.0487172290694658,-0.1156348051395204
121,104222,38,"[1449.1384109695018, 1344.0558398748117, 74.54068162557319]",0.1082029080028179,-0.0421096573735091
122,24233,10,"[1545.3917274511268, 1194.0731167657057, 70.475332168046]",0.1027489329472774,-0.1038917092425147
123,21755,9,"[1538.1077931767265, 1183.1856983166801, 137.36140748458973]",0.0692544112362411,-0.0027891195974061
126,3373,2,"[2105.371116787486, 615.691230611495, 2.238067002668248]",0.1487482202918126,0.0629180142028905
127,103192,39,"[2462.9834937990495, 336.14530727880424, 135.85848207962806]",0.1468836255907737,-0.0155570243720111
129,72468,28,"[1131.429967614287, 1679.93988869909, 273.43564217407874]",0.1663770670178993,-0.0085824482441348
131,127330,47,"[2020.8429038056852, 800.806425987096, 216.91432263579512]",-0.0215762050788164,-0.0176531114479035
132,26494,10,"[2559.920592181316, 197.46328302366265, 45.643843889182456]",0.1805069027492798,0.0541151925389485
136,43929,17,"[888.7919525204966, 1907.0555101026353, 8.262036467936898]",0.2822843769774558,0.0307033647514785
138,62416,23,"[2055.8770471126168, 710.0460260667495, 10.78593629838503]",0.2720855338461514,-0.1291362360170566
139,8929,4,"[1580.2738127830135, 1161.353092950133, 47.006943666704]",-0.1092150248306355,-0.1842448541307541
141,78521,29,"[2565.437747173653, 231.3191548534799, 166.62401141096012]",0.1068250082877649,0.0139852793958294
143,62848,24,"[1911.629251890823, 869.5205116540693, 65.5351685070128]",0.0844802072594984,-0.1314656312190216
144,16797,7,"[1508.026403383979, 1258.7547691549707, 123.89920819193904]",0.1534029232053993,-0.0682193337602716
148,81062,30,"[1817.4250036193757, 1039.4977641676737, 124.28975352199551]",0.0858056786023931,-0.0123145708708282
149,8292,4,"[2373.831273829713, 393.35767781031734, 42.28762662807525]",0.2835348732517526,0.1639743804183219
150,81584,30,"[412.97934129253736, 2408.890202628012, 242.75790596195333]",0.1599879377357251,0.0016872564636184
157,114798,42,"[875.1122977170971, 1935.960170762225, 173.72341852645516]",0.2990520363894081,0.0865854409935938
158,16567,7,"[1807.4657262967467, 994.5089536933364, 246.64875958230218]",0.0436635207445843,0.0299684194167586
160,38545,15,"[431.11905321597396, 2372.4507160159087, 212.2422291076148]",0.1012812704411631,-0.0216203259289489
171,20419,8,"[2618.50171007024, 312.00805025845847, 8.11543170576424]",0.0890388612387878,0.0843479094150316
172,13388,5,"[178.8807905692247, 2642.775637532436, 145.8562892142217]",-0.0012999700932476,0.1070480466313361
173,9572,4,"[407.9462279715626, 2459.9172068147427, 276.87557459256163]",0.3463649527050822,-0.0463624753857063
178,65011,25,"[358.3149002844857, 2491.2350667463343, 209.0198710346724]",0.1332031698493762,0.0825397486658421
181,18895,7,"[427.54421785400655, 2404.9492702132716, 265.31018788039165]",0.110593517238077,-0.0810708322452787
185,16919,7,"[957.5378681867237, 1862.2674186864774, 235.9049589219221]",0.3237872994271517,-0.0801077134367607
186,115883,43,"[890.7019629619494, 1974.7414329847065, 249.21130795716368]",0.2153828007851137,-0.1717204565166878
189,65818,24,"[300.4665337192864, 2565.9193428706803, 182.2943875535568]",0.07574876331199,0.3671194707832359
191,2937,2,"[952.294658152422, 1863.4158621958481, 218.74225400068096]",0.5238687286502987,0.0012403664495256
193,48211,18,"[904.9679808803157, 1994.2596820972176, 48.94385098836365]",0.3849935569743964,0.102912996554592
196,27291,10,"[521.9535757727301, 2338.44604808079, 175.9247370928145]",0.1318689358582314,-0.0724980827304407
205,18718,7,"[1824.9328230305978, 1031.5527225940627, 99.42547280692382]",0.0680081507990085,-0.197157025215538
209,271236,100,"[1818.265186055969, 1176.7504415319133, 46.48862367572778]",0.0274337712459247,-0.2249551971033443
213,16955,7,"[805.8666005037826, 2056.9425223437884, 126.46753170156296]",0.1763507260887251,-0.0463624753857063
214,40413,15,"[228.1138669981533, 2688.2821256029006, 174.55855788978795]",0.0825486441267012,0.2277838616152173
