ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
3,31971,12,"[2423.5834267430664, 293.86708383638086, 20.716430515154357]",0.11169963109798385,0.07865679208531232
4,131190,48,"[2485.7065203607012, 248.96772672596626, 256.07340498513605]",-0.024487369342290358,-0.07046233473159808
12,14850,6,"[2247.8110585851764, 403.46238838134525, 271.80329966329964]",-0.10184848776533276,-0.02880478539598828
15,28590,11,"[2172.292066745766, 487.53246446374357, 229.90062959076602]",0.14245535741825266,-0.23547758907662017
16,8420,4,"[1935.9075452014517, 709.8227630124101, 274.54608076009504]",0.25018781640840443,-0.012581200706237576
20,6116,3,"[1800.7302673570462, 840.2143968796422, 215.99738391105296]",-0.022219483350236657,0.2307685780391947
27,241512,90,"[1597.4428972684464, 1110.0985180443326, 46.00873304885889]",0.16827937874368143,-0.06915061854413518
30,11835,5,"[1599.4188987059865, 1055.6732362880043, 145.02729193071397]",0.08413181076075833,-0.17970665127882327
33,117428,44,"[1254.8802775969862, 1413.9172672012478, 142.02047137854973]",0.07558116090622034,-0.32959363832942506
34,6898,3,"[1308.7501016631509, 1325.8038994011463, 25.501739634676717]",0.24054608089181823,0.14312299543869392
35,5727,3,"[1199.2410401129796, 1436.502686307122, 80.65636458878994]",0.24612371090067714,-0.2616215916119294
43,12812,5,"[632.1426725742751, 2004.1574287044689, 185.39447393068997]",0.3585265232099448,-0.3623299557316609
44,32680,13,"[716.0189791023654, 1927.3479589578633, 76.40310123823514]",0.376568956266742,0.04119366657374422
50,9869,4,"[513.6037133667664, 2131.993624123932, 7.012665923599148]",0.1924903171102169,-0.21921802819926808
51,3753,2,"[294.5793177809587, 2339.239031376884, 178.16520117239543]",0.4199954957339618,-0.020398710026517077
61,5656,3,"[75.15658509096738, 2558.4368871156194, 199.91407355021215]",0.15624351827587712,-0.15630418913549177
68,71988,27,"[653.2872133576343, 2006.3412873818315, 245.4741623603934]",0.22166057289656121,-0.266817700821145
71,73788,27,"[2186.9293030602344, 509.7416250243609, 13.214845232287093]",0.24636196185057152,0.024237743056727823
74,170248,63,"[1900.332034353181, 856.4738505329822, 171.71963253606503]",0.12641158943296554,0.048730843415857025
79,4139,2,"[841.1993744348515, 1798.0935642184168, 276.5025368446485]",0.36359840296306883,-0.04636247538570638
80,64210,24,"[510.60210159880603, 2183.1599467444853, 144.76879778899084]",0.24948152758796094,-0.08551798679931577
88,3060,2,"[586.5468708224187, 2044.5868753623292, 108.24575163398693]",0.5242502222890276,0.3743338900556512
89,8481,4,"[85.39334577696991, 2548.489550604072, 265.7451951420823]",0.22717995116319512,-0.1761558579758984
90,2773,2,"[623.9070687456222, 2009.6788872700379, 62.78507032095204]",0.4234601741311613,-0.14571569786749627
91,25534,10,"[1563.453884563091, 1094.2235152778967, 124.78045720049876]",-0.16952245137340538,0.29497715657121965
93,25937,11,"[1568.3347500683308, 1095.4332756726462, 180.8832726585984]",-0.01604625751583616,0.11296453307487181
95,13794,6,"[603.2532124004254, 2039.6912154405043, 87.10961287516312]",0.20468667765231274,0.09850056438383772
97,39648,15,"[525.9058986099033, 2149.2634304149506, 124.2759786117837]",0.1643567064896047,-0.08788763632201269
98,71999,28,"[576.1172805799492, 2096.3085826937595, 204.29534609482454]",-0.07523473883952955,-0.05787808253517888
99,4080,2,"[1926.1316671590782, 716.0362954815675, 179.625]",-0.20421437578057827,0.03833061381556033
100,67557,26,"[577.9951794986516, 2102.7431821124046, 42.44210556610054]",-0.08861020637433406,-0.03422506594777148
101,20806,8,"[329.9802180641309, 2334.975565451782, 164.21046813419207]",0.17383486987958002,-0.05666256975284218
103,130571,48,"[2402.3634395663994, 385.48815597417473, 217.3284963468048]",-0.06442843243132157,0.004097514109696221
104,8620,4,"[318.89176769472806, 2367.2832441118194, 3.4955916473317865]",0.05364845236117084,0.04604190315631912
105,4878,2,"[95.7157513113525, 2553.7299168280915, 276.70541205412053]",0.25750613263648503,-0.004055609333446078
106,31562,12,"[577.9848854236723, 2101.9062788715382, 264.5930158367254]",0.11958365264468153,-0.08933734211163358
107,93030,35,"[2361.606446929848, 360.12119725068675, 74.6756195236735]",0.23986755352597144,0.07004198640480792
111,91200,34,"[2169.037995201338, 612.5522912116862, 258.0080592105263]",-0.08418181831871946,0.08251841898748022
112,10645,5,"[1583.5042121811905, 1112.4261936578414, 87.64904914726743]",-0.27167409239481144,-0.22560221465464877
114,248419,91,"[1499.5481588407326, 1360.9071688772526, 138.8347227448668]",-0.028760803352300163,0.06809981371513023
116,38734,15,"[232.95229955063678, 2559.2585205955265, 13.918159756286467]",0.04393044383516044,0.11978092696994982
117,94412,35,"[515.8086257507848, 2220.1375558900672, 253.6673092403508]",0.16957444716358572,-0.15424630184963148
119,46758,18,"[1908.6831386434915, 830.7174607646065, 100.78358783523674]",-0.04871722906946586,-0.11563480513952047
121,104222,38,"[1449.1384109695018, 1344.0558398748117, 74.54068162557319]",0.10820290800281794,-0.04210965737350918
122,24233,10,"[1545.3917274511268, 1194.0731167657057, 70.475332168046]",0.10274893294727745,-0.10389170924251478
123,21755,9,"[1538.1077931767265, 1183.1856983166801, 137.36140748458973]",0.06925441123624114,-0.0027891195974061797
126,3373,2,"[2105.371116787486, 615.691230611495, 2.238067002668248]",0.14874822029181262,0.06291801420289052
127,103192,39,"[2462.9834937990495, 336.14530727880424, 135.85848207962806]",0.14688362559077373,-0.015557024372011178
129,72468,28,"[1131.429967614287, 1679.93988869909, 273.43564217407874]",0.16637706701789934,-0.008582448244134878
131,127330,47,"[2020.8429038056852, 800.806425987096, 216.91432263579512]",-0.021576205078816454,-0.017653111447903578
132,26494,10,"[2559.920592181316, 197.46328302366265, 45.643843889182456]",0.18050690274927983,0.05411519253894852
136,43929,17,"[888.7919525204966, 1907.0555101026353, 8.262036467936898]",0.28228437697745584,0.030703364751478515
138,62416,23,"[2055.8770471126168, 710.0460260667495, 10.78593629838503]",0.2720855338461514,-0.1291362360170566
139,8929,4,"[1580.2738127830135, 1161.353092950133, 47.006943666704]",-0.10921502483063555,-0.1842448541307541
141,78521,29,"[2565.437747173653, 231.3191548534799, 166.62401141096012]",0.10682500828776494,0.013985279395829421
143,62848,24,"[1911.629251890823, 869.5205116540693, 65.5351685070128]",0.08448020725949844,-0.13146563121902166
144,16797,7,"[1508.026403383979, 1258.7547691549707, 123.89920819193904]",0.15340292320539933,-0.06821933376027167
148,81062,30,"[1817.4250036193757, 1039.4977641676737, 124.28975352199551]",0.08580567860239315,-0.012314570870828281
149,8292,4,"[2373.831273829713, 393.35767781031734, 42.28762662807525]",0.28353487325175264,0.16397438041832194
150,81584,30,"[412.97934129253736, 2408.890202628012, 242.75790596195333]",0.15998793773572512,0.0016872564636184195
