,Region,#Z,Azi,Ele,SDev_Azi,SDev_Ele
0,0,66,0.8692667824698805,-0.017656327215014297,0.12042799721377946,0.15092165850651743
1,1,37,0.807421179707602,-0.02044455318156899,0.14263814569732897,0.1323686696808061
2,2,47,0.8026886673532245,-0.008223731558923886,0.12910865972618416,0.16126991290950815
3,3,34,0.9340006155488503,0.030003796092807376,0.08028941197672877,0.1390769985465288
4,4,47,0.8402609709345643,0.021668933916542565,0.15908613268524868,0.1356595423194396
5,5,60,0.8859164018978073,0.02275116932669822,0.10087812157478972,0.10868994539823428
6,6,45,0.9498975795249925,0.0795509666917465,0.21130039840481893,0.22766911381915347
7,7,64,0.919719385700604,0.07079676717473694,0.09216516801978816,0.16721189198114664
8,8,39,0.8493327528625222,0.08693954268050656,0.4507743091869448,0.11502700356043774
9,9,78,0.7574002596006266,0.04636626986725832,0.15652411811548186,0.10502506614857289
10,10,62,0.8355916971774139,0.04742940571553651,0.11516870359593508,0.11599499707724917
11,11,80,0.9297868776456257,-0.00243667886644076,0.08145309229099919,0.0942059840886849
12,12,50,0.935406293067182,-0.01884552874464746,0.09445890623423792,0.0990496573115525
13,13,74,0.8673071839092924,0.013012336151252786,0.11801838414564976,0.07988253833871632
14,14,106,0.8253223836564864,0.08052256027998353,0.495478844562002,0.1280068787567927
15,15,101,0.9456738351789166,0.03975214083801423,0.14261797646352103,0.09048891570093115
16,16,79,0.9226964407670247,0.07831805924612194,0.08106288556592255,0.08037109442960932
17,17,28,0.8071924450513518,0.08493462505991631,0.45794126080718195,0.1173855401928103
18,18,72,0.8364933891775066,0.052076665160395094,0.13810368394284822,0.08760899324579267
19,19,70,0.8173452908018599,0.10792387130395113,0.11889294609471376,0.15865057870061977
20,20,75,0.9127839614684436,0.016293390324898138,0.10581726269548777,0.1016445880105794
21,21,59,0.8688816614318077,0.02361804651251288,0.11673599468530639,0.11650922009805427
22,22,102,0.9284182465853997,0.045773761621871044,0.0890625109990873,0.13614372651361967
23,23,76,0.9221773010670673,0.06531421393203189,0.1236855304906554,0.11619198672390865
24,24,93,1.0082591358334285,0.044609243766916176,0.11076348675964993,0.12534429730275626
25,25,68,0.9757708752598299,0.08977600916535167,0.09557833868413411,0.13293008027721423
26,26,32,0.9759770256559361,0.13857605886879598,0.10840277941890601,0.12249139784593079
