ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
635,4767,2,"[1556.881718215242, 2161.927889141128, 57.029788126704425]",0.1409965749865979,-0.0693123113695669
648,41356,16,"[1535.836995123735, 2239.704172926564, 74.47326495379724]",0.0811829422121603,-0.0820859501244954
659,223547,83,"[1742.368957642607, 2218.2031389888944, 43.48741189000915]",-0.0263349544966639,-0.0178296910623252
728,45404,17,"[1646.4790354915717, 2326.8710821982577, 105.07373799665228]",-0.0842872576436354,-0.0397151886904441
739,3863,2,"[1777.562070817496, 2138.8458339774847, 59.50556562257313]",0.0503319443209089,0.0612668330243098
749,52580,20,"[1675.865530102772, 2342.2990467862696, 67.70031971692954]",-0.1157803294612619,-0.2042646322832362
782,42900,16,"[1995.498061405528, 2061.847150867089, 27.291585081585083]",0.0396843491770648,0.5888937019752454
815,103356,38,"[1972.3841757527957, 2165.919061096676, 25.14511010488022]",0.0565801801969872,0.2786653459543377
836,89402,35,"[1877.245564540804, 2372.7492121165888, 78.44946496158306]",-0.0360262157269483,-0.3792024205464678
859,171381,63,"[2228.945001434931, 2062.9283571340925, 101.82187640403545]",0.1352790945595361,-0.0386611871019489
878,83973,31,"[1975.4208933035961, 2267.468229620901, 56.31681358116823]",0.2014284828972576,0.005120324664972
926,169855,62,"[2199.8212638863306, 2189.771847743701, 31.236254452326985]",0.1470895219827891,0.0148975980407916
947,158571,59,"[1552.948731321323, 2886.224650269714, 66.32687171054022]",-0.0029553353328846,0.0388362987099967
949,100805,38,"[2090.8837711795213, 2405.311519052925, 84.42632047931406]",0.1351850132928261,-0.1453832849828404
962,8924,4,"[1592.801150017037, 2829.5169253205418, 106.48520842671448]",-0.038803985785492,-0.0718284314170573
969,9244,4,"[2203.7531736495125, 2209.7694359451298, 73.7798572046733]",0.1468209019668751,-0.0126461035014635
977,201231,75,"[2439.394662998133, 2100.36822602619, 95.85842752938925]",0.0707927849786072,0.0795401971512282
1002,99445,37,"[2186.117445538531, 2357.073148478309, 54.508654664086194]",0.1107617273623344,-0.1007273967106697
1039,202633,76,"[2417.062365628794, 2241.7826149375082, 48.15096970330348]",0.1183391306054571,0.0659137927457982
1050,90030,35,"[1813.4028074955825, 2830.06193351574, 82.07030189781135]",0.0758250933192312,-0.2722186512350621
1059,58874,22,"[2296.703095516269, 2426.6793377918793, 97.08947922682339]",0.0787794819957357,-0.1912188839262582
1063,49025,18,"[1760.6112825092562, 2929.766175144503, 41.91247322794493]",0.0599911036478878,0.1635707499094558
1116,42815,16,"[1824.0968865662342, 2931.9458866584673, 101.10017517225272]",0.045394993478064,0.1935935052550632
1135,91436,34,"[2377.6632119602377, 2463.147287497079, 28.69995406623212]",-0.0369946252332249,0.2914140373682252
1138,20840,8,"[1769.1256931654823, 3044.7676645007705, 81.44649712092131]",0.1070867683912575,-0.1364182456484103
1163,59949,22,"[2512.031188564606, 2431.098883373254, 102.85851306944235]",-0.0286197972242291,-0.2708223406438907
1168,87622,33,"[2048.9383089546827, 2880.56008912326, 75.40883195492707]",-0.0311623857571647,-0.1806784512439346
1192,54113,20,"[1981.072434227351, 2994.157525326466, 32.73085949771774]",0.1199742632307019,0.1911544457808193
1281,86911,33,"[2295.169523797076, 2863.276580901792, 85.54533663453498]",-0.1416561600402555,-0.0902127675498619
1329,38183,14,"[2211.9269146863016, 3019.9257169422503, 34.76342875101485]",0.0163707641560961,0.1384228524198039
1358,107832,40,"[2529.8416351329615, 2859.6305921613675, 83.84948346489048]",-0.0645799395274145,-0.2522982163008916
1394,81135,32,"[2463.298799535785, 2988.216795614757, 64.13170232364195]",-0.2331001728443833,0.1268415167960299
