Node,Azi_[RAD],Ele_[RAD]
"[5.067688612004503, 229.00952037267885, 53.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[54.95079982326136, 232.42629589239831, 53.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[104.83391103451822, 235.84307141211775, 54.0]",-0.0683913329166616,-0.0085873193136454
"[154.71702224577507, 239.2598469318372, 54.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[204.60013345703194, 242.67662245155665, 54.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[48.20120226438391, 180.21915247080702, 77.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[98.08431347564077, 183.63592799052648, 77.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[147.96742468689763, 187.05270351024592, 78.0]",-0.0683913329166616,-0.0085873193136454
"[197.85053589815448, 190.46947902996536, 78.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[247.73364710941135, 193.88625454968482, 78.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[37.594600546585724, 94.65923194723487, 64.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[87.47771175784258, 98.07600746695432, 64.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[137.36082296909944, 101.49278298667377, 65.0]",-0.0683913329166616,-0.0085873193136454
"[187.2439341803563, 104.90955850639322, 65.0293416636526]",-0.0683913329166616,-0.0085873193136454
"[237.12704539161317, 108.32633402611268, 65.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[17.088503892175567, 197.1897152192843, 57.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[66.97161510343243, 200.60649073900376, 57.970658336347405]",-0.0683913329166616,-0.0085873193136454
"[116.85472631468929, 204.0232662587232, 58.0]",-0.0683913329166616,-0.0085873193136454
"[166.73783752594613, 207.44004177844263, 58.029341663652595]",-0.0683913329166616,-0.0085873193136454
"[216.620948737203, 210.8568172981621, 58.05868332730519]",-0.0683913329166616,-0.0085873193136454
"[94.8702498226962, 163.24858972232997, 93.94131667269481]",-0.0683913329166616,-0.0085873193136454
"[144.75336103395307, 166.66536524204943, 93.9706583363474]",-0.0683913329166616,-0.0085873193136454
"[194.63647224520992, 170.08214076176887, 94.0]",-0.0683913329166616,-0.0085873193136454
"[244.51958345646676, 173.4989162814883, 94.0293416636526]",-0.0683913329166616,-0.0085873193136454
