,ID,Area,ZDiscs,Centroid,Azi_[RAD],Ele_[RAD]
0,1882,88860,33,"[2870.4575286968266, 1747.3158113887014, 53.44453072248481]",0.17150522999113646,-0.023321233003265607
1,1891,19112,7,"[2825.5372540812054, 1779.4922561741314, 14.575031393888656]",0.1680532908452036,0.04233720168037631
2,1901,4440,2,"[2835.8274774774773, 1820.4207207207207, 2.0574324324324325]",0.14328472820009705,0.057945499743319986
3,1911,12150,5,"[2890.17316872428, 1410.9814814814815, 12.810699588477366]",-0.2278523545232554,0.31039644063125
4,1948,92931,34,"[2950.1003432654334, 1933.0835888992908, 25.98531168286148]",0.12127634778966796,0.00658167155226463
5,1964,48348,18,"[2931.180462480351, 1507.0036402746753, 20.221105319765037]",0.13450635277519246,0.1457320332106185
6,1994,16302,6,"[3002.5061342166605, 1641.8532695374802, 4.852840142313826]",0.10919921007387273,0.032265628071222525
7,2006,219980,81,"[3089.408559869079, 1682.9649968178926, 39.32120192744795]",0.053054629707194774,-0.14225460693596267
8,2116,153492,56,"[3243.7927383837596, 1495.0921741849738, 44.622481953456855]",0.002430899106433979,0.1290231392065002
9,2165,47619,18,"[3260.6349986349987, 1581.5559755559755, 8.19091119091119]",-0.06717512506382246,0.07872941439971104
10,2207,109031,40,"[3317.9862241014025, 2042.7707441003017, 40.02864322990709]",-0.07831983293301063,0.22024708247133112
11,2214,4329,2,"[3451.747054747055, 1404.7184107184107, 21.85262185262185]",-0.6253664094935828,0.43452782559830816
12,2260,121194,45,"[3426.4324966582503, 1848.9672921101705, 34.341502054557154]",-0.0931515176794485,0.30295693394454926
13,2337,4744,2,"[3492.192242833052, 1632.147765598651, 8.101180438448566]",0.2304163678266852,-0.07008910852410447
