n,a,e
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,-0.1245321368453288,0.1975278191750581
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,0.0,0.0
31.0,0.0,0.0
32.0,0.0,0.0
33.0,-0.0228216471882703,0.0982636366676015
34.0,0.0,0.0
35.0,0.0,0.0
36.0,0.0,0.0
37.0,0.0,0.0
38.0,0.0,0.0
39.0,0.0,0.0
40.0,0.0,0.0
41.0,0.0,0.0
42.0,0.0,0.0
43.0,0.0,0.0
44.0,0.0,0.0
45.0,0.0,0.0
46.0,0.0482396913713313,0.0646151717714535
47.0,0.0,0.0
48.0,0.0,0.0
49.0,0.2130352577050946,0.0251281713702597
50.0,0.0310665026515047,0.1665642394127481
51.0,0.0482396913713313,0.0646151717714535
52.0,0.0482396913713313,0.0646151717714535
53.0,0.0,0.0
54.0,0.2130352577050946,0.0251281713702597
55.0,0.2130352577050946,0.0251281713702597
56.0,0.0310665026515047,0.1665642394127481
57.0,-0.1245321368453288,0.1975278191750581
58.0,0.0310665026515047,0.1665642394127481
59.0,-0.1245321368453288,0.1975278191750581
60.0,-0.1245321368453288,0.1975278191750581
61.0,0.0,0.0
62.0,0.0,0.0
63.0,0.0,0.0
64.0,0.0,0.0
65.0,0.0,0.0
66.0,0.0977843045311275,0.0029137410380387
67.0,0.0,0.0
68.0,0.0,0.0
69.0,0.0,0.0
70.0,0.0,0.0
71.0,0.0977843045311275,0.0029137410380387
72.0,-0.1245321368453288,0.1975278191750581
73.0,0.0,0.0
74.0,0.0,0.0
75.0,0.0,0.0
76.0,0.1523329926123189,0.090991015346251
77.0,0.0,0.0
78.0,0.0,0.0
79.0,0.0,0.0
80.0,0.0,0.0
81.0,0.0,0.0
82.0,0.0,0.0
83.0,0.0,0.0
84.0,0.0,0.0
85.0,0.0,0.0
86.0,0.0,0.0
87.0,0.0,0.0
88.0,0.0,0.0
89.0,0.0,0.0
90.0,0.0,0.0
91.0,0.0,0.0
92.0,0.0,0.0
93.0,0.0,0.0
94.0,0.0,0.0
95.0,0.0,0.0
96.0,0.0825782445195128,0.214974496332132
97.0,0.1347307665649235,0.0384967218734501
98.0,0.1347307665649235,0.0384967218734501
99.0,-0.1245321368453288,0.1975278191750581
100.0,0.0,0.0
101.0,0.0825782445195128,0.214974496332132
102.0,0.0825782445195128,0.214974496332132
103.0,0.1347307665649235,0.0384967218734501
104.0,-0.1245321368453288,0.1975278191750581
105.0,-0.1245321368453288,0.1975278191750581
106.0,0.0,0.0
107.0,0.0,0.0
108.0,0.0,0.0
109.0,0.0,0.0
110.0,0.0,0.0
111.0,0.0,0.0
112.0,0.0,0.0
113.0,0.0,0.0
114.0,0.0,0.0
115.0,0.0,0.0
116.0,0.0,0.0
117.0,-0.070114341132938,0.0282188019211332
118.0,0.0,0.0
119.0,0.119979194416335,0.0171904662826393
120.0,0.0800632392918754,0.0320330007921388
121.0,0.0,0.0
122.0,0.0,0.0
123.0,0.119979194416335,0.0171904662826393
124.0,0.0,0.0
125.0,0.0,0.0
126.0,0.1046646274299379,0.0159148376628608
127.0,0.0,0.0
128.0,0.1515877235543904,0.0775362852725878
129.0,0.0,0.0
130.0,0.0,0.0
131.0,0.0,0.0
132.0,0.0,0.0
133.0,0.0,0.0
134.0,0.0,0.0
135.0,0.1515877235543904,0.0775362852725878
136.0,0.1515877235543904,0.0775362852725878
137.0,0.0,0.0
138.0,0.0,0.0
139.0,0.0,0.0
140.0,0.0,0.0
141.0,0.0,0.0
142.0,0.0,0.0
143.0,0.0,0.0
144.0,0.0,0.0
145.0,0.0,0.0
146.0,0.0,0.0
147.0,0.0,0.0
148.0,0.1046646274299379,0.0159148376628608
149.0,0.1046646274299379,0.0159148376628608
150.0,0.0,0.0
151.0,0.0,0.0
152.0,0.0086495988791782,0.0862736971016108
153.0,0.0800632392918754,0.0320330007921388
154.0,0.0800632392918754,0.0320330007921388
155.0,0.0800632392918754,0.0320330007921388
156.0,0.0,0.0
157.0,0.0,0.0
158.0,0.0800632392918754,0.0320330007921388
159.0,0.0,0.0
160.0,0.0,0.0
161.0,0.0,0.0
162.0,0.0,0.0
163.0,0.0,0.0
164.0,0.1515877235543904,0.0775362852725878
165.0,0.119979194416335,0.0171904662826393
166.0,0.1515877235543904,0.0775362852725878
167.0,0.119979194416335,0.0171904662826393
168.0,0.0,0.0
169.0,0.119979194416335,0.0171904662826393
170.0,0.0,0.0
171.0,-0.0228216471882703,0.0982636366676015
172.0,-0.0351200847361143,0.0192345596496334
173.0,-0.0228216471882703,0.0982636366676015
174.0,0.0,0.0
175.0,-0.0228216471882703,0.0982636366676015
176.0,0.0,0.0
177.0,0.0,0.0
178.0,0.1046646274299379,0.0159148376628608
179.0,0.0,0.0
180.0,0.0,0.0
181.0,0.0,0.0
182.0,0.0,0.0
183.0,-0.0351200847361143,0.0192345596496334
184.0,0.0,0.0
185.0,-0.0351200847361143,0.0192345596496334
186.0,0.0086495988791782,0.0862736971016108
187.0,0.0800632392918754,0.0320330007921388
188.0,0.0721515315480778,-0.025094019840815
189.0,0.0,0.0
190.0,0.1484363772962945,-0.1123971575391446
191.0,0.0,0.0
192.0,0.1484363772962945,-0.1123971575391446
193.0,0.0,0.0
194.0,0.0,0.0
195.0,0.0,0.0
196.0,0.0977843045311275,0.0029137410380387
197.0,0.0,0.0
198.0,0.0977843045311275,0.0029137410380387
199.0,0.0,0.0
200.0,0.0482396913713313,0.0646151717714535
201.0,0.0310665026515047,0.1665642394127481
202.0,0.0482396913713313,0.0646151717714535
203.0,0.0482396913713313,0.0646151717714535
204.0,0.0482396913713313,0.0646151717714535
205.0,0.0,0.0
206.0,0.0,0.0
207.0,0.0,0.0
208.0,0.0310665026515047,0.1665642394127481
209.0,0.0310665026515047,0.1665642394127481
210.0,0.0310665026515047,0.1665642394127481
211.0,-0.1245321368453288,0.1975278191750581
212.0,0.0,0.0
213.0,0.0977843045311275,0.0029137410380387
214.0,0.0,0.0
215.0,0.0866370398995647,0.026669706687974
216.0,0.0866370398995647,0.026669706687974
217.0,0.0721515315480778,-0.025094019840815
218.0,0.0482396913713313,0.0646151717714535
219.0,0.0,0.0
220.0,0.0482396913713313,0.0646151717714535
221.0,0.0,0.0
222.0,0.0,0.0
223.0,0.1484363772962945,-0.1123971575391446
224.0,0.0,0.0
225.0,0.1440059531965144,-0.0650970141311163
226.0,0.0,0.0
227.0,0.2130352577050946,0.0251281713702597
228.0,0.0,0.0
229.0,0.0310665026515047,0.1665642394127481
230.0,0.0310665026515047,0.1665642394127481
231.0,0.0310665026515047,0.1665642394127481
232.0,0.0,0.0
233.0,0.0,0.0
234.0,0.0310665026515047,0.1665642394127481
235.0,0.0,0.0
236.0,0.0,0.0
237.0,0.0866370398995647,0.026669706687974
238.0,0.0,0.0
239.0,-0.0327942504244339,-0.0851221096571784
240.0,-0.0327942504244339,-0.0851221096571784
241.0,0.1232454000155387,-0.0394889852922748
242.0,0.0,0.0
243.0,0.1484363772962945,-0.1123971575391446
244.0,0.0977843045311275,0.0029137410380387
245.0,0.0977843045311275,0.0029137410380387
246.0,0.1232454000155387,-0.0394889852922748
247.0,0.0977843045311275,0.0029137410380387
248.0,0.0,0.0
249.0,0.0721515315480778,-0.025094019840815
250.0,0.0866370398995647,0.026669706687974
251.0,0.0310665026515047,0.1665642394127481
252.0,0.0977843045311275,0.0029137410380387
253.0,0.0310665026515047,0.1665642394127481
254.0,0.1484363772962945,-0.1123971575391446
255.0,0.0,0.0
256.0,0.0,0.0
257.0,0.1484363772962945,-0.1123971575391446
258.0,0.0,0.0
259.0,0.0,0.0
260.0,0.0,0.0
261.0,0.0,0.0
262.0,0.0,0.0
263.0,0.0,0.0
264.0,0.0,0.0
265.0,0.1515877235543904,0.0775362852725878
266.0,0.0,0.0
267.0,0.0,0.0
268.0,0.0,0.0
269.0,0.0,0.0
270.0,0.0,0.0
271.0,0.0,0.0
272.0,0.0,0.0
273.0,0.0,0.0
274.0,0.0,0.0
275.0,0.0,0.0
276.0,0.0,0.0
277.0,0.0,0.0
278.0,0.0,0.0
279.0,0.0,0.0
280.0,0.0,0.0
281.0,0.0,0.0
282.0,0.0,0.0
283.0,0.0,0.0
284.0,0.0,0.0
285.0,0.0,0.0
286.0,0.0,0.0
287.0,0.0,0.0
288.0,0.0,0.0
289.0,0.0,0.0
290.0,0.0,0.0
291.0,0.0,0.0
292.0,0.0,0.0
293.0,0.1285920774091682,0.004670899842539
294.0,0.1515877235543904,0.0775362852725878
295.0,0.1515877235543904,0.0775362852725878
296.0,0.1285920774091682,0.004670899842539
297.0,0.1285920774091682,0.004670899842539
298.0,0.0,0.0
299.0,0.0,0.0
300.0,0.0,0.0
301.0,0.1285920774091682,0.004670899842539
302.0,0.0,0.0
303.0,0.0,0.0
304.0,0.0,0.0
305.0,0.0,0.0
306.0,0.0,0.0
307.0,0.0,0.0
308.0,0.0,0.0
309.0,0.0,0.0
310.0,0.0,0.0
311.0,0.0,0.0
312.0,0.0,0.0
313.0,0.0,0.0
314.0,0.0,0.0
315.0,0.0613628417344439,0.0330322263518963
316.0,0.0613628417344439,0.0330322263518963
317.0,0.0,0.0
318.0,0.0,0.0
319.0,0.0,0.0
320.0,0.0,0.0
321.0,0.0,0.0
322.0,0.0,0.0
323.0,0.0,0.0
324.0,0.0,0.0
325.0,0.0,0.0
326.0,0.0,0.0
327.0,0.0,0.0
328.0,0.0,0.0
329.0,0.0,0.0
330.0,-0.1245321368453288,0.1975278191750581
331.0,0.0,0.0
332.0,0.0825782445195128,0.214974496332132
333.0,0.0825782445195128,0.214974496332132
334.0,0.0,0.0
335.0,0.1347307665649235,0.0384967218734501
336.0,0.0,0.0
337.0,0.0310665026515047,0.1665642394127481
338.0,0.1347307665649235,0.0384967218734501
339.0,0.0,0.0
340.0,-0.1245321368453288,0.1975278191750581
341.0,0.0,0.0
342.0,0.0,0.0
343.0,0.0310665026515047,0.1665642394127481
344.0,0.0,0.0
345.0,0.0,0.0
346.0,0.0,0.0
347.0,0.0,0.0
348.0,0.0,0.0
349.0,0.0,0.0
350.0,0.0310665026515047,0.1665642394127481
351.0,0.0310665026515047,0.1665642394127481
352.0,0.0310665026515047,0.1665642394127481
353.0,-0.1245321368453288,0.1975278191750581
354.0,-0.1245321368453288,0.1975278191750581
355.0,-0.1245321368453288,0.1975278191750581
356.0,0.0,0.0
357.0,0.0,0.0
358.0,0.0,0.0
359.0,0.0,0.0
360.0,-0.1245321368453288,0.1975278191750581
361.0,-0.1245321368453288,0.1975278191750581
362.0,-0.1245321368453288,0.1975278191750581
363.0,0.0310665026515047,0.1665642394127481
364.0,0.0,0.0
365.0,0.0,0.0
366.0,0.0,0.0
367.0,0.0825782445195128,0.214974496332132
368.0,0.0,0.0
369.0,0.0825782445195128,0.214974496332132
370.0,0.1347307665649235,0.0384967218734501
371.0,0.1347307665649235,0.0384967218734501
372.0,0.0,0.0
373.0,0.1347307665649235,0.0384967218734501
374.0,-0.1245321368453288,0.1975278191750581
375.0,0.1347307665649235,0.0384967218734501
376.0,-0.1245321368453288,0.1975278191750581
377.0,0.0257791802387113,0.1104650296479263
378.0,0.0,0.0
379.0,0.0,0.0
380.0,0.0,0.0
381.0,0.0,0.0
382.0,0.0,0.0
383.0,0.0,0.0
384.0,0.0,0.0
385.0,0.0825782445195128,0.214974496332132
386.0,0.0310665026515047,0.1665642394127481
387.0,0.0,0.0
388.0,0.0,0.0
389.0,0.0310665026515047,0.1665642394127481
390.0,0.1347307665649235,0.0384967218734501
391.0,0.1347307665649235,0.0384967218734501
392.0,0.1347307665649235,0.0384967218734501
393.0,0.0,0.0
394.0,0.0,0.0
395.0,0.0257791802387113,0.1104650296479263
396.0,0.0825782445195128,0.214974496332132
397.0,0.0825782445195128,0.214974496332132
398.0,0.1347307665649235,0.0384967218734501
399.0,0.0825782445195128,0.214974496332132
400.0,0.1347307665649235,0.0384967218734501
401.0,0.0,0.0
402.0,0.0,0.0
403.0,0.1523329926123189,0.090991015346251
404.0,0.0825782445195128,0.214974496332132
405.0,0.1347307665649235,0.0384967218734501
406.0,0.0,0.0
407.0,0.0,0.0
408.0,0.1285920774091682,0.004670899842539
409.0,0.0,0.0
410.0,0.0,0.0
411.0,-0.0014957867098885,0.0313938732102259
412.0,0.0,0.0
413.0,0.0,0.0
414.0,0.0,0.0
415.0,0.0920380569553278,0.0396938982388484
416.0,0.0,0.0
417.0,0.0,0.0
418.0,0.0,0.0
419.0,0.1285920774091682,0.004670899842539
420.0,0.1347307665649235,0.0384967218734501
421.0,0.0977843045311275,0.0029137410380387
422.0,0.1285920774091682,0.004670899842539
423.0,0.0,0.0
424.0,0.0,0.0
425.0,0.0,0.0
426.0,0.0,0.0
427.0,0.0,0.0
428.0,0.0,0.0
429.0,0.0920380569553278,0.0396938982388484
430.0,-0.0014957867098885,0.0313938732102259
431.0,-0.1245321368453288,0.1975278191750581
432.0,0.0,0.0
433.0,0.0,0.0
434.0,0.0,0.0
435.0,0.0,0.0
436.0,0.0,0.0
437.0,0.0,0.0
438.0,0.0,0.0
439.0,0.0,0.0
440.0,0.0,0.0
441.0,0.0,0.0
442.0,0.0,0.0
443.0,0.0,0.0
444.0,0.0977843045311275,0.0029137410380387
445.0,-0.1245321368453288,0.1975278191750581
446.0,-0.1245321368453288,0.1975278191750581
447.0,0.0,0.0
448.0,0.0,0.0
449.0,0.0,0.0
450.0,0.0,0.0
451.0,0.0,0.0
452.0,0.0,0.0
453.0,0.0,0.0
454.0,0.0,0.0
455.0,0.0,0.0
456.0,0.0,0.0
457.0,-0.0228216471882703,0.0982636366676015
458.0,0.0,0.0
459.0,0.0,0.0
460.0,0.0,0.0
461.0,0.0,0.0
462.0,0.0,0.0
463.0,0.0,0.0
464.0,0.0,0.0
465.0,0.0,0.0
466.0,0.0,0.0
467.0,0.0,0.0
468.0,0.0,0.0
469.0,0.0977843045311275,0.0029137410380387
470.0,0.0977843045311275,0.0029137410380387
