ID,Node
3,"[2444.2832252269354, 206.67261889578035, 21]"
3,"[2414.5847404171004, 428.70414818835627, 33]"
3,"[2435.797943852697, 365.064537881567, 37]"
3,"[2429.4339828220177, 403.95541084682714, 38]"
3,"[2466.2035354437185, 180.50966799187808, 24]"
3,"[2430.1410896032044, 423.0472939388639, 42]"
3,"[2435.09083707151, 326.1736649163069, 31]"
3,"[2408.927886167608, 390.52038200428274, 28]"
3,"[2403.2710319181156, 341.02290732122435, 19]"
3,"[2413.8776336359138, 362.94321753800733, 21]"
3,"[2423.7771285725253, 399.7127701597078, 31]"
3,"[2401.149711574556, 271.01933598375615, 16]"
4,"[2527.0147186257614, 237.07821048680188, 286]"
4,"[2486.0025253169415, 309.20310216782974, 272]"
4,"[2493.0735931288073, 378.4995667241114, 296]"
4,"[2484.5883117545686, 437.8965363437814, 267]"
4,"[2491.659379566434, 394.05591591021545, 286]"
4,"[2481.7598846298224, 293.64675298172574, 272]"
4,"[2476.8101371615166, 372.13560569343247, 269]"
4,"[2486.0025253169415, 409.6122650963195, 291]"
4,"[2482.466991411009, 280.2117241391813, 258]"
4,"[2477.5172439427033, 389.8132752230962, 260]"
4,"[2461.2537879754127, 256.17009357883865, 239]"
4,"[2479.638564286263, 193.9446968344225, 254]"
4,"[2477.5172439427033, 394.05591591021545, 258]"
4,"[2482.466991411009, 222.2289680818844, 261]"
4,"[2481.7598846298224, 355.87214972614186, 264]"
4,"[2488.8309524416877, 399.7127701597078, 291]"
4,"[2511.4583694396574, 160.71067811865476, 274]"
4,"[2476.10303038033, 408.19805153394645, 275]"
4,"[2498.023340597113, 403.2483040656406, 288]"
4,"[2477.5172439427033, 187.58073580374355, 253]"
4,"[2477.5172439427033, 351.6295090390226, 251]"
4,"[2492.3664863476206, 302.8391411371508, 271]"
4,"[2469.739069349651, 309.9102089490163, 257]"
4,"[2500.1446609406726, 160.71067811865476, 267]"
4,"[2527.0147186257614, 164.95331880577405, 282]"
4,"[2494.48780669118, 419.5117600329312, 291]"
4,"[2529.8431457505076, 191.82337649086284, 288]"
4,"[2520.6507575950827, 176.97413408594537, 279]"
4,"[2515.7010101267765, 204.55129855222071, 277]"
4,"[2481.0527778486357, 348.0939751330899, 260]"
4,"[2479.638564286263, 251.92745289171938, 254]"
4,"[2462.6680015377856, 333.95183950935893, 249]"
4,"[2510.7512626584708, 240.61374439273465, 271]"
4,"[2533.3786796564405, 184.04520189781084, 287]"
4,"[2454.8898269447336, 290.8183258569795, 237]"
4,"[2472.567496474397, 370.7213921310594, 273]"
4,"[2457.71825406948, 246.97770542341357, 239]"
4,"[2493.0735931288073, 218.69343417595167, 262]"
4,"[2476.8101371615166, 438.60364312496796, 270]"
4,"[2508.629942314911, 222.93607486307093, 272]"
4,"[2476.8101371615166, 421.63308037649085, 269]"
4,"[2464.789321881345, 314.8599564173221, 248]"
4,"[2488.1238456605015, 374.9640328181787, 291]"
4,"[2452.0613998199874, 249.80613254815975, 238]"
4,"[2527.0147186257614, 198.89444430272832, 289]"
4,"[2483.1740981921953, 304.9604614807105, 270]"
4,"[2460.546681194226, 251.22034611053283, 244]"
4,"[2499.437554159486, 158.5893577750951, 268]"
12,"[2254.071501087754, 454.8670990922585, 283]"
12,"[2232.8582976521575, 524.1635636485403, 291]"
12,"[2239.2222586828366, 523.4564568673536, 294]"
12,"[2243.4648993699557, 404.66251762801363, 258]"
12,"[2240.6364722452095, 495.17218561989176, 288]"
12,"[2251.243073963008, 419.5117600329312, 283]"
15,"[2179.8252890631666, 476.78740930904155, 241]"
15,"[2163.561833095876, 627.4011537017761, 233]"
15,"[2179.11818228198, 514.2640687119285, 250]"
15,"[2157.9049788463835, 542.5483399593904, 222]"
15,"[2172.0471144701146, 453.45288552988546, 235]"
15,"[2169.925794126555, 473.95898218429534, 233]"
15,"[2166.390260220622, 587.8031739553295, 234]"
15,"[2167.804473782995, 548.2051942088829, 235]"
15,"[2183.3608229690994, 536.891485709898, 263]"
15,"[2162.147619533503, 623.1585130146568, 235]"
15,"[2172.7542212513013, 472.5447686219223, 236]"
16,"[1930.9237020855019, 787.9143930311225, 280]"
16,"[1933.752129210248, 703.0615792887368, 279]"
16,"[1943.6516241468598, 807.7133829043458, 292]"
16,"[1935.8734495538076, 716.4966081312812, 287]"
20,"[1803.6444814719232, 865.6961389616426, 223]"
20,"[1799.4018407848039, 898.2230508962239, 222]"
20,"[1785.9668119422595, 897.5159441150373, 230]"
27,"[1565.3494962120567, 1293.4957415795038, 28]"
27,"[1611.3114369891823, 1090.5560953789648, 32]"
27,"[1620.5038251446074, 1020.5525240414966, 93]"
27,"[1632.5246404247787, 1072.1713190681146, 48]"
27,"[1552.621574150699, 1309.052090765608, 50]"
27,"[1563.2281758684971, 1297.0312754854367, 37]"
27,"[1611.3114369891823, 1116.0119395016804, 37]"
27,"[1579.4916318357878, 1280.767819518146, 24]"
27,"[1611.3114369891823, 1120.2545801887998, 20]"
27,"[1578.784525054601, 1231.9774516162743, 37]"
27,"[1599.290621709011, 1186.0155108391486, 46]"
27,"[1571.7134572427358, 1288.545994111198, 40]"
27,"[1574.541884367482, 1243.2911601152591, 20]"
27,"[1609.1901166456228, 1113.890619158121, 20]"
27,"[1543.4291859952737, 1398.8546519762995, 31]"
27,"[1621.2109319257938, 1104.6982310026956, 79]"
27,"[1527.1657300279833, 1419.3607486307094, 44]"
27,"[1559.6926419625643, 1283.5962466428923, 50]"
27,"[1560.399748743751, 1289.9602076735714, 51]"
27,"[1549.7931470259527, 1340.1647891378161, 54]"
27,"[1602.1190488337572, 1149.2459582174483, 50]"
27,"[1536.3581181834084, 1400.2688655386728, 53]"
27,"[1556.8642148378183, 1300.5668093913694, 19]"
27,"[1545.5505063388332, 1396.73333163274, 44]"
27,"[1623.3322522693536, 1060.1505037879433, 52]"
27,"[1617.6753980198614, 1130.861181906598, 27]"
27,"[1573.8347775862953, 1311.8805178903542, 20]"
27,"[1583.0271657417202, 1205.1073939311857, 37]"
27,"[1558.985535181378, 1359.2566722298527, 31]"
27,"[1561.8139623061238, 1356.4282451051067, 27]"
27,"[1626.1606793940998, 1105.4053377838823, 68]"
27,"[1587.2698064288397, 1205.1073939311855, 37]"
27,"[1549.086040244766, 1373.398807853584, 31]"
27,"[1580.9058453981606, 1221.370849898476, 35]"
27,"[1620.5038251446076, 1072.878425849301, 97]"
27,"[1625.4535726129134, 1076.413959755234, 74]"
27,"[1588.6840199912126, 1202.2789668064395, 28]"
27,"[1597.876408146638, 1157.7312395916867, 23]"
27,"[1561.1068555249374, 1272.2825381439077, 54]"
27,"[1624.7464658317267, 1057.322076663197, 63]"
27,"[1611.3114369891823, 1141.4677836243961, 42]"
27,"[1631.1104268624056, 1073.5855326304877, 73]"
27,"[1540.6007588705274, 1369.1561671664645, 54]"
27,"[1625.4535726129134, 1063.6860376938762, 67]"
27,"[1617.6753980198614, 1128.0327547818517, 56]"
27,"[1614.8469708951152, 1120.9616869699864, 67]"
27,"[1554.035787713072, 1324.608439951712, 51]"
27,"[1612.018543770369, 1157.7312395916867, 53]"
27,"[1550.5002538071392, 1381.8840892278224, 33]"
27,"[1614.8469708951152, 1096.9200564096436, 37]"
27,"[1551.2073605883256, 1313.2947314527273, 48]"
27,"[1532.8225842774755, 1430.674457129694, 35]"
27,"[1545.5505063388332, 1334.5079348883237, 41]"
27,"[1584.4413793040935, 1243.2911601152591, 38]"
27,"[1544.843399557647, 1415.8252147247767, 42]"
27,"[1560.399748743751, 1302.6881297349291, 53]"
27,"[1565.3494962120567, 1285.0104602052654, 33]"
27,"[1607.7759030832497, 1142.1748904055828, 39]"
27,"[1537.7723317457812, 1422.8962825366423, 46]"
27,"[1613.4327573327419, 1118.1332598452402, 40]"
27,"[1613.4327573327419, 1142.1748904055828, 42]"
27,"[1611.3114369891823, 1149.9530649986348, 41]"
27,"[1544.1362927764603, 1388.2480502585013, 49]"
27,"[1561.8139623061238, 1369.1561671664647, 32]"
27,"[1548.3789334635796, 1357.1353518862932, 41]"
27,"[1541.307865651714, 1376.9343417595164, 42]"
27,"[1575.2489911486684, 1268.0398974567881, 19]"
27,"[1633.2317472059653, 1072.878425849301, 54]"
27,"[1623.3322522693538, 1095.5058428472707, 37]"
27,"[1632.5246404247787, 1056.6149698820104, 74]"
27,"[1549.7931470259525, 1344.4074298249354, 34]"
27,"[1626.1606793940998, 1082.7779207859128, 59]"
27,"[1531.4083707151026, 1423.6033893178287, 47]"
27,"[1566.7637097744298, 1300.5668093913694, 18]"
27,"[1630.4033200812191, 1060.1505037879433, 77]"
27,"[1590.8053403347726, 1227.0277041479685, 31]"
27,"[1630.4033200812191, 1084.192134348286, 82]"
27,"[1569.5921368991762, 1286.4246737676383, 27]"
27,"[1602.8261556149437, 1165.509414184739, 28]"
27,"[1604.240369177317, 1161.2667734976196, 26]"
